Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bolivia,BOL,2396.11488932128,3497.27942818013,4986.88053332403,5108.87359361606,5298.08451219437,5598.50844451487,5899.64186063859,6303.06642034157,6662.82976241703,6955.18276973353,7234.19524334693,7559.63940406033
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,..,4528.61304464368,9006.44700898036,9003.26972919448,9314.88603110754,9901.61020154702,10181.913229555,10825.840024833,11164.2057322716,11526.4243893206,12172.65025508,12875.9691022036
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Botswana,BWA,5242.04564928739,8251.81945049328,13226.6064899232,12098.7929929481,13064.4662387584,13889.2704704923,14506.885230642,16111.1091493253,16765.1596098485,16352.8793260993,16960.9638749829,17354.1997098229
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brazil,BRA,6686.22765918254,9012.95542519292,13259.7294038113,13212.3784657313,14243.492142124,14973.0984736747,15398.4287039609,15971.0089748595,16195.8711227125,15656.2666699696,15181.4713659756,15483.5408303931
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brunei Darussalam,BRN,54726.5642826069,65034.8346589503,78682.9808251747,76964.3177723928,78923.3904740313,82434.8830910215,83504.3025184817,81827.2734606771,80155.5429896511,79439.062446088,77420.6123414915,78836.1246818218
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bulgaria,BGR,5190.79679510755,6376.85746284045,14328.9295392236,14143.6130187685,14948.5975676056,15676.1505350579,16208.2134882088,16631.6615568962,17508.8855040291,18115.2303685143,19242.6226157385,20329.3436113181
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burkina Faso,BFA,545.726240774682,852.388972667646,1338.8602973718,1347.57924167077,1394.58472667042,1472.71648241138,1549.4802661889,1616.77927059162,1666.89454400624,1699.8799348695,1771.16213900948,1869.75816149248
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burundi,BDI,702.879896737916,597.718189253131,729.462783308925,735.701234336554,748.380657602419,771.509423734821,793.080192119077,818.28521331237,846.094868209195,796.960811411939,777.752851658978,770.941374349935
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cabo Verde,CPV,1070.91406516043,3039.91935103396,5710.16341956672,5620.53931728869,5710.34425217671,5991.77849034175,6097.22155382914,6171.85798773012,6245.0054820895,6298.8037717756,6541.09976404895,6831.46046091006
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cambodia,KHM,..,1097.7555894619,2355.79030530531,2340.38172140597,2471.89147442893,2658.70924674351,2858.71357016753,3067.55302955128,3291.28476181889,3504.41825365613,3736.96461203482,4001.75677751144
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cameroon,CMR,1952.24372225482,2063.82352270855,2812.64505460119,2817.98765363956,2870.56268713564,2969.0475747898,3076.85813905275,3208.26832603863,3367.17697419567,3502.40788727502,3609.37559694929,3694.19995303906
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Canada,CAN,20107.8306877283,29185.3550587258,40277.6193121099,38791.0746857483,40027.2402088674,41565.2712210369,42145.0978611317,44101.4714464506,45519.7939192537,44647.3642265863,44819.4836002717,46377.6491878898
