Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ethiopia,1990,1881,2065,1234,2259,939,1955,1586,1996,2686,3144,2895,2293,1386,1942,4655,2836,2519,3782
Fiji,30,26,45,8,32,7,16,22,24,25,40,10,6,11,6,10,11,13,21
Finland,7073,7544,7715,7234,6539,4178,6005,6202,5868,6023,5773,3492,3379,3385,3396,3389,3868,4240,4605
France,26485,27298,27570,5678,24019,5338,23777,24376,25423,26449,26980,6067,5716,5948,5495,6029,6627,7121,7149
Gabon,93,99,93,41,145,40,108,77,75,53,58,11,22,30,21,15,27,33,33
"Gambia, The",572,552,684,243,558,240,498,559,609,597,744,404,429,344,348,339,389,304,327
Georgia,3881,3172,3122,262,4568,214,3546,2958,2318,1777,1868,253,299,214,187,181,147,159,245
Germany,15588,14345,15104,15015,14201,14014,14975,15822,18985,21342,21787,17898,17961,17324,16738,16218,17072,18045,19418
Ghana,2560,2210,2393,717,2779,866,2451,2714,2354,1829,2004,1266,979,969,818,848,714,779,748
Gibraltar,3,37,3,17,4,5,7,2,4,9,101,6,12,9,7,5,9,17,10
Greece,18424,20110,20078,1947,17849,1745,12546,11418,11024,11179,11932,2451,3048,4473,5832,5434,4657,4992,6168
Grenada,31,15,27,6,14,4,21,16,12,14,12,4,1,2,9,0,4,3,6
Guatemala,319,308,341,171,336,87,258,302,263,297,310,126,105,81,101,67,49,60,55
Guinea,895,607,955,964,1644,421,766,548,409,498,637,262,284,217,182,171,121,122,99
Guinea-Bissau,210,88,100,31,57,22,76,77,70,52,69,12,24,6,17,20,23,19,17
Guyana,104,62,32,29,65,38,39,47,32,21,29,8,9,11,11,16,5,6,15
Haiti,129,180,202,88,194,89,149,155,118,117,192,77,134,11,9,22,19,16,18
Honduras,221,184,197,64,198,63,179,157,166,194,214,62,71,57,56,41,47,29,56
"Hong Kong SAR, China",222,142,34,44,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,15026,16644,17855,1073,18179,912,19134,20493,20781,25288,29216,3127,3185,3233,3852,3703,3630,3726,3515
Iceland,1964,2011,2031,1839,2533,2077,2486,2281,2419,2553,2264,1912,1747,1471,1468,1299,1486,1833,1730
India,6737,6961,8403,1850,11087,2125,11195,11322,13316,14979,17592,4828,5333,5309,5757,6694,7886,9338,11042
Indonesia,4105,3722,3695,2152,4039,1901,3232,3058,3136,3242,3461,1310,1386,1523,1351,1408,1600,1825,2169
"Iran, Islamic Rep.",7952,8362,10973,4244,9473,2373,6311,5353,5926,5416,6571,4046,4763,4851,5317,4952,4471,3989,5786
Iraq,20814,17060,22658,9032,19971,5280,6421,6847,14620,20611,21792,9491,5325,5199,4645,3995,4181,4764,7301
Ireland,4423,4172,4111,1404,3618,1151,2647,2553,2775,3167,3639,1408,1271,1517,1421,1339,1562,1532,1804
Israel,2262,2431,2641,1229,3503,1321,2891,2552,2983,2648,2741,874,774,842,853,849,886,952,1044
Italy,40831,40518,38702,3479,30089,3029,24452,23424,23929,24923,27315,4194,4405,4662,5587,6529,7671,8249,8793
Jamaica,338,326,294,73,224,41,161,168,192,207,159,57,46,69,86,56,72,96,101
Japan,7488,7782,7938,2135,8243,2109,7885,7860,7834,8018,8071,1594,1540,1625,1637,1508,1655,1765,1902
Jordan,1927,1720,2265,1221,2261,1130,1538,1139,1678,1700,1857,691,468,478,605,676,1061,1755,2107
Kazakhstan,56237,54206,55114,306,46122,218,24856,15527,5116,3978,3552,193,300,265,269,281,285,274,314
Kenya,2170,2200,2095,769,1990,587,1787,1927,2229,2185,2378,1117,1329,1238,1134,2209,1428,1241,1179
Kiribati,171,91,12,7,18,2,4,3,3,19,17,0,0,0,0,0,0,0,1
"Korea, Dem. People’s Rep.",345,453,506,30,626,33,590,555,455,365,355,34,35,26,34,47,65,34,48
"Korea, Rep.",2363,2961,3340,716,3670,637,3430,3875,4016,4385,4632,765,860,892,806,950,1006,994,1268
Kuwait,274,201,275,113,180,87,193,355,379,372,298,117,77,135,162,190,284,235,475
Kyrgyz Republic,3710,3578,3656,118,3356,77,2810,1848,1168,1220,955,73,79,116,150,138,101,94,85
Lao PDR,135,109,111,87,160,49,158,126,117,115,87,42,43,26,38,26,28,37,38
Latvia,3087,2862,2979,746,2931,637,3186,3341,3118,2831,3218,2153,2431,2401,2188,1895,1888,1919,1959
Lebanon,3776,3669,4621,1112,4336,908,3952,3358,5567,3592,3638,1026,1146,957,1147,1401,2152,3594,4497
Lesotho,30,43,47,33,42,12,42,27,25,28,32,8,23,18,28,20,19,23,8
Liberia,422,287,309,159,548,189,947,412,230,167,186,60,73,49,55,43,48,37,39
Libya,615,539,597,112,779,148,731,701,894,838,1024,308,286,477,257,226,1538,2524,1333
Lithuania,3113,3262,4409,5011,5387,1106,6804,7677,7503,6502,5975,3032,3685,3848,3708,3331,3294,3451,3864
Luxembourg,1732,1725,1902,414,2160,440,2402,2748,3018,3677,3904,371,416,418,407,411,497,472,642
"Macao SAR, China",10,8,11,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,137,159,119,19,118,13,133,113,121,165,184,18,16,25,30,23,29,23,26
Malawi,127,145,118,92,173,76,95,136,191,183,171,47,53,59,60,59,46,53,106
Malaysia,1291,1139,570,664,1213,604,1177,1557,1646,1653,1798,740,659,605,696,651,698,747,770
